timestamp,city,aqi,pm25,pm10,no2,co,o3,so2,nh3,temperature,humidity,pressure,wind_speed
2026-05-07 07:57:51,Karachi,3,14.45,53.24,0.04,96.75,48.39,0.29,0,34.07,52,1006,10.29
2026-05-07 07:58:51,Karachi,3,14.45,53.24,0.04,96.75,48.39,0.29,0,34.07,52,1006,10.29
2026-05-07 08:00:14,Karachi,3,14.45,53.24,0.04,96.75,48.39,0.29,0,34.07,52,1006,10.29
2026-05-07 08:01:32,Karachi,3,14.45,53.24,0.04,96.75,48.39,0.29,0,34.07,52,1006,10.29
2026-05-07 08:05:39,Karachi,3,14.45,53.24,0.04,96.75,48.39,0.29,0,34.07,52,1006,10.29
2026-05-07 08:14:39,Karachi,3,14.45,53.24,0.04,96.75,48.39,0.29,0,34.07,52,1006,10.29
2026-05-07 10:19:23,Karachi,3,14,52.29,0.05,95.42,46.96,0.31,0,33.07,55,1005,9.77
2026-05-07 11:00:46,Karachi,3,13.86,52.18,0.05,94.89,47.1,0.32,0,33.07,52,1005,7.72
2026-05-07 13:27:38,Karachi,3,13.92,53.4,0.07,95.22,48.95,0.34,0,32.07,58,1005,6.69
2026-05-07 15:58:58,Karachi,3,14.53,56.68,0.09,95.36,50.63,0.36,0,30.07,70,1007,7.72
2026-05-07 17:48:25,Karachi,3,14.6,57.72,0.09,95.23,52.14,0.37,0,29.07,74,1008,6.17
2026-05-07 19:25:39,Karachi,3,14.54,57.85,0.09,95.02,52.79,0.37,0,29.07,74,1007,3.09
2026-05-07 20:57:36,Karachi,3,14.58,58.82,0.09,94.59,53.2,0.37,0,28.07,78,1005,3.09
2026-05-07 21:54:38,Karachi,3,14.71,59.8,0.09,94.46,53.23,0.37,0,28.07,78,1005,3.6
2026-05-07 22:52:04,Karachi,3,14.9,60.9,0.09,94.6,53.18,0.37,0,28.07,78,1005,2.06
2026-05-07 23:43:25,Karachi,3,15.08,61.83,0.1,94.8,53.1,0.37,0,28.07,78,1005,3.09
2026-05-08 02:02:18,Karachi,3,15.34,62.62,0.12,95.18,52.61,0.36,0,28.07,78,1007,2.57
2026-05-08 05:22:21,Karachi,3,14.94,60.46,0.08,95.25,52.23,0.34,0,32.07,58,1007,6.69
2026-05-08 07:15:42,Karachi,3,14.54,58.59,0.06,95.21,51.47,0.33,0,33.07,49,1007,5.14
2026-05-08 09:04:44,Karachi,3,14.33,57.63,0.05,94.87,49.52,0.32,0,34.07,49,1007,4.12
2026-05-08 11:02:43,Karachi,3,14.51,58.1,0.05,94.59,47.53,0.33,0,33.07,55,1006,6.69
2026-05-08 13:07:27,Karachi,3,14.81,58.57,0.07,94.55,46.93,0.35,0,32.07,58,1006,5.66
2026-05-08 15:13:25,Karachi,3,15.08,58.76,0.1,95.12,50.68,0.36,0,30.07,70,1007,5.14
2026-05-08 17:01:32,Karachi,3,15.42,59.91,0.09,95.46,51.01,0.36,0,30.07,74,1009,5.66
2026-05-08 19:03:46,Karachi,3,15.75,61.62,0.09,95.54,50.3,0.36,0,29.07,74,1009,6.17
2026-05-08 20:45:29,Karachi,3,15.93,63.14,0.08,95.62,50.99,0.35,0,29.07,74,1007,5.14
2026-05-08 21:49:56,Karachi,3,16,64.04,0.08,95.77,52.45,0.33,0,28.07,78,1007,4.12
2026-05-08 22:44:50,Karachi,3,16.12,65.32,0.07,95.76,54.45,0.32,0,28.07,78,1007,4.12
2026-05-08 23:45:23,Karachi,3,16.28,67.19,0.07,95.93,56.78,0.31,0,28.07,78,1007,4.12
2026-05-09 01:56:09,Karachi,3,16.68,71.01,0.08,96.22,61.02,0.29,0,28.07,78,1008,2.06
2026-05-09 05:16:18,Karachi,3,16.5,70.68,0.06,95.05,60.31,0.25,0,32.07,55,1009,4.63
2026-05-09 07:42:11,Karachi,3,15.85,67.75,0.04,93.7,56.18,0.23,0,34.07,49,1008,6.17
2026-05-09 09:08:11,Karachi,3,15.45,65.31,0.04,93,54.17,0.23,0,33.07,52,1007,6.17
2026-05-09 10:47:01,Karachi,3,14.88,60,0.04,92.49,51.86,0.25,0,34.07,46,1006,6.69
2026-05-09 11:41:32,Karachi,3,14.69,57.41,0.05,92.37,51.62,0.26,0,33.07,52,1006,8.75
2026-05-09 12:53:12,Karachi,3,14.58,55.35,0.06,92.68,52.23,0.27,0,33.07,52,1007,8.23
2026-05-09 14:13:44,Karachi,3,14.27,52.86,0.07,93.29,56.22,0.28,0,31.07,58,1007,5.66
2026-05-09 15:41:00,Karachi,3,14.1,50.92,0.08,93.72,58.93,0.28,0,30.07,74,1008,4.12
2026-05-09 16:41:03,Karachi,3,14.16,51.05,0.07,93.87,60.28,0.28,0,30.07,74,1008,4.12
2026-05-09 17:41:08,Karachi,3,14.28,51.7,0.07,94.05,61.32,0.28,0,29.07,79,1008,5.14
2026-05-09 18:44:14,Karachi,3,14.38,52.58,0.07,93.92,62.1,0.29,0,29.07,74,1008,3.6
2026-05-09 19:50:34,Karachi,3,14.45,53.8,0.06,93.72,62.84,0.29,0,28.07,78,1007,4.12
2026-05-09 20:34:33,Karachi,3,14.54,55.04,0.06,93.39,63.25,0.3,0,28.07,78,1006,5.14
2026-05-09 21:34:18,Karachi,3,14.54,55.04,0.06,93.39,63.25,0.3,0,28.07,78,1006,4.12
2026-05-09 22:33:12,Karachi,3,14.65,56.38,0.06,93.25,63.58,0.32,0,28.07,78,1006,4.63
2026-05-09 23:37:23,Karachi,3,15.11,60.52,0.06,92.78,64.16,0.33,0,28.07,78,1007,5.14
2026-05-10 01:55:07,Karachi,3,15.83,67.04,0.07,92.58,65.3,0.33,0,28.07,78,1008,3.6
2026-05-10 05:30:07,Karachi,3,16.73,75.61,0.04,92.44,65.13,0.3,0,32.07,58,1008,4.12
2026-05-10 07:56:14,Karachi,3,16.7,75.55,0.03,91.65,60.55,0.28,0,35.07,49,1007,7.72
2026-05-10 09:23:39,Karachi,3,16.53,74.07,0.03,90.98,57.72,0.27,0,35.07,46,1006,7.72
2026-05-10 10:54:18,Karachi,3,16.04,70.33,0.04,90.17,54.1,0.27,0,35.07,43,1005,7.72
2026-05-10 11:41:53,Karachi,3,15.68,68.23,0.04,89.85,53.72,0.28,0,34.07,49,1005,7.72
2026-05-10 12:54:22,Karachi,3,15.4,66.64,0.05,90.06,54.6,0.29,0,33.07,55,1005,7.72
2026-05-10 14:16:41,Karachi,3,14.59,59.59,0.07,91.13,59.46,0.3,0,31.07,66,1006,6.17
2026-05-10 15:42:31,Karachi,3,14.8,60.13,0.08,91.35,60.65,0.31,0,30.07,70,1007,6.17
2026-05-10 16:42:02,Karachi,3,14.91,60.56,0.08,91.53,60.75,0.31,0,29.07,74,1007,5.14
2026-05-10 17:41:46,Karachi,3,14.99,61.18,0.08,91.51,60.88,0.32,0,29.07,74,1007,4.12
2026-05-10 18:45:30,Karachi,3,15.01,61.96,0.07,91.39,60.79,0.32,0,28.07,78,1006,3.09
2026-05-10 19:52:23,Karachi,3,15.02,62.9,0.07,91.22,60.89,0.31,0,28.07,78,1006,3.09
2026-05-10 20:37:30,Karachi,3,15.07,63.71,0.07,91.19,60.95,0.31,0,28.07,78,1005,3.6
2026-05-10 21:38:32,Karachi,3,15.14,64.58,0.07,91.12,60.9,0.31,0,28.07,78,1005,3.09
2026-05-10 22:36:35,Karachi,3,15.23,65.57,0.07,90.98,60.91,0.31,0,28.07,78,1005,3.09
2026-05-10 23:41:08,Karachi,3,15.32,66.47,0.07,90.8,60.87,0.32,0,27.1,84,1005,5.74
2026-05-11 02:05:06,Karachi,3,15.52,68.07,0.09,90.47,60.68,0.34,0,28.07,83,1007,3.6
2026-05-11 06:28:34,Karachi,3,15.52,68.34,0.06,89.63,58.88,0.35,0,33.07,55,1007,6.17
2026-05-11 10:28:07,Karachi,3,15.64,66.02,0.05,88.67,54.82,0.33,0,34.07,49,1004,6.69
2026-05-11 13:37:39,Karachi,3,16.01,64.23,0.08,87.5,57.09,0.34,0,32.07,58,1004,5.66
2026-05-11 16:24:17,Karachi,3,16.42,63.82,0.09,87.25,59.16,0.35,0,30.07,74,1006,3.6
